edge_id,source_node_id,relation_type,target_node_id,event_time,available_at,valid_from,valid_to,split,prediction_time_safe,source_news_id,source_url,evidence_text,confidence,extraction_method,review_status,attributes_json,dataset_version,graph_version,kg_layer,quality_tier,validation_basis,allowed_use,layered_release_version
edge:75ddb32e28abc090fea0e2fb,news:e8047db353a59a4f7cf8880fe5e3322d,PUBLISHED_BY,source:d3688b7c417bb1a2,2021-08-12,2021-08-12,2021-08-12,,train,True,e8047db353a59a4f7cf8880fe5e3322d,https://cafef.vn/digiworld-dgw-chot-danh-sach-co-dong-tra-co-tuc-bang-tien-va-chia-co-phieu-thuong-tong-ty-le-110-20210812093212314.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:75fe08b3e6d7ce193df2a31a,news:dd129f716ba36cd2b08a6d4398731dfd,MENTIONS,stock:VND,2021-07-06,2021-07-06,2021-07-06,,train,True,dd129f716ba36cd2b08a6d4398731dfd,https://cafef.vn/vndirect-da-tang-cua-gia-thep-thieu-ben-vung-dinh-gia-co-phieu-thep-dang-o-muc-cao-nhat-thap-ky-20210705172222473.chn,TITLE_ALIAS|BODY_ALIAS,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""9"", ""relation_directness"": ""TITLE_ENTITY_MENTION"", ""sample_id"": ""52102288cd090373d5aa""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:761ae3f07b0a45ed6b7771f4,news:9aaff2c232e9285216c4ba5a49ba2e64,PUBLISHED_AT,time:2022-01-02,2022-01-02,2022-01-02,2022-01-02,,validation,True,9aaff2c232e9285216c4ba5a49ba2e64,https://cafef.vn/ctd-vnm-ceo-pti-nhh-tvs-tar-hmh-dnp-tdg-thong-tin-giao-dich-luong-lon-co-phieu-20220101164312793.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:762e5b5077db946b08ffcba2,news:4443464cfd5c5af735dfd378d367877a,PUBLISHED_BY,source:d3688b7c417bb1a2,2020-01-09,2020-01-09,2020-01-09,,train,True,4443464cfd5c5af735dfd378d367877a,https://cafef.vn/ree-da-hoan-tat-mua-dot-3-lo-trai-phieu-700-ty-do-vinh-son-song-hinh-phat-hanh-20200108170226049.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:763ee2b0a68594f248f8c805,news:de7605d6fcf0781ce949f5dbd938cff5,PUBLISHED_AT,time:2022-04-07,2022-04-07,2022-04-07,2022-04-07,,validation,True,de7605d6fcf0781ce949f5dbd938cff5,https://www.tinnhanhchungkhoan.vn/du-no-margin-cua-ssi-cuoi-quy-i-xap-xi-20600-ty-dong-post294820.html,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:764288ead5aaff18d2983718,news:3d07f11f275b7eb1a4ac1ded2345342e,MENTIONS,stock:FPT,2021-10-22,2021-10-22,2021-10-22,,train,True,3d07f11f275b7eb1a4ac1ded2345342e,https://cafef.vn/ttck-viet-nam-don-them-mot-quy-dau-tu-den-tu-xu-so-chua-vang-quy-mo-nghin-ty-ua-thich-nam-giu-fpt-vnm-va-chung-chi-etf-20211022151946801.chn,TITLE_TICKER|BODY_TICKER|TARGET_CONTEXT,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""5"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""39cfc3e6c504d7a34060""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:7647fe60ae46fb4c8926ce9e,news:ee466410aa28821fc4351fde2cad6466,MENTIONS,stock:VSC,2020-10-22,2020-10-22,2020-10-22,,train,True,ee466410aa28821fc4351fde2cad6466,https://cafef.vn/gab-hdc-gex-sgr-mhc-agg-vsc-thong-tin-giao-dich-luong-lon-co-phieu-20201022175103397.chn,TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""3"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""0df120ddb2260560a3b1""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:764b806bb7934025f5392fdf,news:f77512abc9a5f2e7a710e2862fc22e21,MENTIONS,stock:PNJ,2021-10-23,2021-10-23,2021-10-23,,train,True,f77512abc9a5f2e7a710e2862fc22e21,https://cafef.vn/fpt-pnj-dig-dxg-apg-pvi-ntl-thp-svc-nsh-tnt-mac-vmc-thong-tin-giao-dich-luong-lon-co-phieu-20211022180056678.chn,TITLE_TICKER|BODY_TICKER|TARGET_CONTEXT,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""2"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""1c122bdd5a0b3e616d06""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:7687cfc03aaf3ea29798fa7b,news:4024cf2f2ad9895b63a8134b3049f621,PUBLISHED_AT,time:2022-01-04,2022-01-04,2022-01-04,2022-01-04,,validation,True,4024cf2f2ad9895b63a8134b3049f621,https://vietstock.vn/2022/01/pow-giai-trinh-the-nao-ve-su-co-tai-nha-may-vung-ang-1-737-921906.htm,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:7693b165a37ed57fb1641544,news:eada8b991b784df136322da601a8cb0f,PUBLISHED_BY,source:cc8c5dd74c2ea3a8,2019-03-26,2019-03-26,2019-03-26,,train,True,eada8b991b784df136322da601a8cb0f,https://vietstock.vn/2019/03/vpb-vo-pho-tong-bi-phat-40-trieu-dong-do-vi-pham-thoi-gian-ban-co-phieu-739-663033.htm,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:769d9b029520bd370e459f2f,news:cc3c46fd9134187da132eac0de103299,PUBLISHED_BY,source:916a66d113b8164a,2021-06-22,2021-06-22,2021-06-22,,train,True,cc3c46fd9134187da132eac0de103299,https://vietnambiz.vn/to-chuc-lien-quan-den-dragon-capital-ban-gan-900000-co-phieu-acb-2021062210365509.htm,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:76a465e9a3ee6b37bba86bd9,news:493a23eccf19921b03144c9ab6190e62,PUBLISHED_BY,source:d3688b7c417bb1a2,2022-06-08,2022-06-08,2022-06-08,,test,True,493a23eccf19921b03144c9ab6190e62,https://cafef.vn/gic-tro-lai-lam-co-dong-lon-vinhomes-20220608092025377.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
